X-Position,Y-Position,Z-Position,Azimuth,Elevation,Roll
13700,9500,84.25,1.25,90,0
13600,9500,84.25,2.5,90,0
13500,9500,84.25,3.75,90,0
13400,9500,84.25,5,90,0
13300,9500,84.25,6.25,90,0
13200,9500,84.25,7.5,90,0
13100,9500,84.25,8.75,90,0
13000,9500,84.25,10,90,0
12900,9500,84.25,11.25,90,0
12800,9500,84.25,12.5,90,0
12700,9500,84.25,13.75,90,0
12600,9500,84.25,15,90,0
12500,9500,84.25,16.25,90,0
12400,9500,84.25,17.5,90,0
12300,9500,84.25,18.75,90,0
12200,9500,84.25,20,90,0
12100,9500,84.25,21.25,90,0
12000,9500,84.25,22.5,90,0
11900,9500,84.25,23.75,90,0
11800,9500,84.25,25,90,0
11700,9500,84.25,26.25,90,0
11600,9500,84.25,27.5,90,0
11500,9500,84.25,28.75,90,0
11400,9500,84.25,30,90,0
11300,9500,84.25,31.25,90,0
11200,9500,84.25,32.5,90,0
11100,9500,84.25,33.75,90,0
11000,9500,84.25,35,90,0
10900,9500,84.25,36.25,90,0
10800,9500,84.25,37.5,90,0
10700,9500,84.25,38.75,90,0
10600,9500,84.25,40,90,0
10500,9500,84.25,41.25,90,0
10400,9500,84.25,42.5,90,0
10300,9500,84.25,43.75,90,0
10200,9500,84.25,45,90,0
10300,9650,84.25,45,90,0
10400,9800,84.25,45,90,0
10500,9950,84.25,45,90,0
10600,10100,84.25,45,90,0
10700,10250,84.25,45,90,0
10800,10400,84.25,45,90,0
10900,10550,84.25,45,90,0
11000,10700,84.25,45,90,0
11100,10850,84.25,45,90,0
11200,11000,84.25,45,90,0
11300,11150,84.25,45,90,0
11400,11300,84.25,45,90,0
11500,11450,84.25,45,90,0
11600,11600,84.25,45,90,0
11700,11750,84.25,45,90,0
11800,11900,84.25,45,90,0
11900,12050,84.25,45,90,0
12000,12200,84.25,45,90,0
12100,12350,84.25,45,90,0
12200,12500,84.25,45,90,0
12300,12650,84.25,45,90,0
12400,12800,84.25,45,90,0
12500,12950,84.25,45,90,0
12600,13100,84.25,45,90,0
12700,13250,84.25,45,90,0
12800,13400,84.25,45,90,0
12900,13550,84.25,45,90,0
13000,13700,84.25,45,90,0
13100,13850,84.25,45,90,0
13200,14000,84.25,45,90,0
13300,14150,84.25,45,90,0
13400,14300,84.25,45,90,0
13500,14450,84.25,45,90,0
13600,14600,84.25,45,90,0
13700,14750,84.25,45,90,0
13800,14900,84.25,45,90,0
13900,15050,84.25,45,90,0
14000,15200,84.25,45,90,0
14100,15350,84.25,45,90,0
14200,15500,84.25,45,90,0
14300,15650,84.25,45,90,0
14400,15800,84.25,45,90,0
14500,15950,84.25,45,90,0
14600,16100,84.25,45,90,0
14700,16250,84.25,45,90,0
14800,16400,84.25,45,90,0
14900,16550,84.25,45,90,0
15000,16700,84.25,45,90,0
15100,16850,84.25,45,90,0
15200,17000,84.25,45,90,0
15300,17150,84.25,45,90,0
15400,17300,84.25,45,90,0
15500,17450,84.25,45,90,0
15600,17600,84.25,45,90,0
15700,17750,84.25,45,90,0
15800,17900,84.25,45,90,0
15900,18050,84.25,45,90,0
16000,18200,84.25,45,90,0
16100,18350,84.25,45,90,0
16200,18500,84.25,45,90,0
16300,18650,84.25,45,90,0
16400,18800,84.25,45,90,0
16500,18950,84.25,45,90,0
16600,19100,84.25,45,90,0
16700,19250,84.25,45,90,0
16800,19400,84.25,45,90,0
16900,19550,84.25,45,90,0
17000,19700,84.25,45,90,0
